,Country,Year,pop,Region,co2_mtco2,coalcons_mtoe,coalprod_mtoe,gascons_mtoe,gasprod_mtoe,hydro_mtoe,hydro_twh,nuclear_mtoe,nuclear_twh,oilcons_mtoe,oilprod_mt,primary_gj_pc,primary_mtoe,renewables_mtoe,renewables_twh,solar_mtoe,solar_twh,wind_mtoe,wind_twh,$ money of the day,$ 2018
311,Total North America,2006,440.565217,,6726.05973,578.8527034,606.9140654,627.7843943,627.3204267000001,151.3503586,668.8777747,211.9746108,936.8005947999999,1160.100716,637.6395528,262.018896,2757.151328,27.088544399999996,119.71511310000001,0.193944051,0.85711634,6.641334602000001,29.35071414,65.1440625,81.1415183640253
312,Total North America,2007,445.451453,,6841.163901000001,586.2136687999999,601.3326364,663.8715298,639.2318052,144.36466409999997,638.0051963999999,215.4434972,952.1309912999999,1164.125972,632.4941907000001,263.50064669999995,2803.495413,29.47608049,130.26659009999997,0.256450619,1.133357867,8.603681961,38.02311206,72.3890784313725,87.6687034834556
313,Total North America,2008,450.440424,,6652.888843,575.4523427999999,609.4014679,669.1522193,653.3015061000001,151.09867880000002,667.7655010999999,215.8204918,953.7970815,1105.310675,611.9943074,255.7038232,2751.011238,34.17683092,151.0410866,0.381835456,1.687483616,13.56020098,59.92795223,97.255972762646,113.42923950204943
314,Total North America,2009,455.371421,,6199.175066,505.1812421,552.9402136,661.5331596,657.9676588,150.912452,666.9424904,212.8944377,940.8656777999998,1053.291127,621.6779205,241.1752131,2623.1083289999997,39.29590997,173.6643445,0.500579353,2.212260394,18.51021504,81.80404434,61.6712648221344,72.18375522959538
315,Total North America,2010,460.129,,6434.7339520000005,536.2582974,566.424425,690.0420386,667.1765602999999,146.1323884,645.8174774,213.9085724,945.3475447999999,1077.864984,638.7040451,246.5716514,2709.820564,45.61428359,201.5877649,0.7463086440000001,3.2982364210000004,23.86848676,105.48439040000001,79.495533596838,91.54476352359578
316,Total North America,2011,464.68001200000003,,6360.138723,507.51343260000004,573.1359834,710.7055042000001,705.5278268,164.7484918,728.0894847999999,211.52676549999998,934.8213877000001,1067.431954,659.7501208,244.57,2714.406958,52.48081005,231.9336919,1.210911917,5.351504128,30.1458174,133.22642539999998,111.255597609562,124.19837977827005
317,Total North America,2012,469.06443499999995,,6133.960875,449.9412619,534.8573112,738.59542,731.109385,155.27172280000002,686.2078517000001,206.54262590000002,912.7944809,1047.738851,720.6128408,237.1920819,2657.360511,59.27062938,261.94061949999997,2.259812136,9.987013756,35.58013638,157.24285469999998,111.669702380952,122.13317401924142
318,Total North America,2013,473.32814,,6274.900958,465.35048059999997,519.1275379,764.4726819,739.5538472,155.3061597,686.3600421,213.8444085,945.0639791000001,1061.333597,784.0713887,241.4877616,2730.079131,69.7718031,308.3495066,3.992509273,17.64449548,43.37291032,191.6822398,108.658517786561,117.12425222607595
319,Total North America,2014,477.54510700000003,,6310.862789,463.20540800000003,525.4747018999999,783.0624702,786.7737622000001,153.2209638,677.1447275,216.16821919999998,955.3338281,1065.3088480000001,869.4744906,241.88099,2758.887056,77.92114638,344.3647143,7.140553382,31.55696162,48.07312769,212.4543805,98.9460079051383,104.95250070557736
320,Total North America,2015,481.76982000000004,,6161.228709,404.8160894,466.1003924,803.194721,815.9981303,149.2369836,659.5379254,215.3714486,951.81258,1079.964542,909.7039401000001,237.79032259999997,2736.2233899999997,83.63960594,369.63687450000003,9.631909903,42.56726263,51.67137702,228.35648360000002,52.3867588932806,55.50100568910674
